영단어,한국단어
Charge Transfer Logic,전하 전송 소자
Charging Equipment,충전장치
Charging Switchboard,충방전배전반
Chart Room,해도실(海圖室)
Charter Base : C/B,차터베이스
Check Pin,멈춤핀
Check Point,점검항목
Check Valve,역지 밸브
Checkered Plate (chk. pl.),체크 플레이트
Checklist analysis,목록 분석
Checkpoint Review Meeting,점검항목 검토회의
Checkr (Checkered) Plate,바닥무늬판
Chemical Analysis,화학분석
Chemical Cleaning,화학 세척(化學洗滌)
Chemical Cleaning Pump,케미컬클리닝펌프
Chemical Composition,화학 조성(化學組成)
Chemical Compound Injection Valve,청정제주입밸브
Chemical Dehydrator,화학탈수기
Chemical Fire Extinguisher,화학소화기
Chemical Tanker,케미컬탱커
Chemical Vapor Deposition,화학 기상 성장법
Chief Engineer,기관장
Chief Engineer(C/Eng.),기관장(機關長)
Chill Strip,뒷댐편
Chilled Casting,냉각주물
Chin Pipe,체인파이프
Chin Pipe Cover,체인파이프뚜껑
Chine Line,차인선
Chipping,치핑
Chipping Hammer,치핑 해머
Chisel Suspension Tower,중추탑
Chock Liner,조정라이너
Christening(Naming) Ceremony,명명식(命名式)
Christmas Tree Post,크리스마스트리포스트
Christmas Tree Winch,크리스마스트리윈치
Christmas Tree Wire Rope,크리스마스트리와이어로프
Chronometer,크로노미터
Chute,슈우트
Circuit,약전류회로
Circuit Breaker,회로차단기
Circular,회람문서
Circular Error Probable,확률 오차원
Circular Letter,회람장
Circular Mils (C.M),전선의 단면적단위
Circular Saw,원형툽
Circulating Pump,순환 펌프
Citadel Deck House,중앙부대갑판실
Citizen Band transceiver,생활 무선
Clad Steel,클래드 강(鋼)
Clamp,클램프
Clamp Circuit,클램프 회로
Clarifier,클래리파이어
Class 1 Pipe,일급관(一級管)
Class A Fires,화재(A급 火災)
Class A-60 Bulkhead A-60,구역 격벽
Class Comment Item,선급 NCR
Class Notation,선급부호(船級符號)
Class Rules,선급 규칙
Class/Division,위험성 급/등급
Classification Certificate,선급 증서(船級證書)
Classification Character,부기부호
Classification Rule,선급 규정(船級規定)
Classification Society,선급 협회(船級協會)
Classification Survey,선급검사
Claw Coupling,물움커플링
Cleading,클리딩
Clean Ballast Pump,클린밸러스트펌프
Clear Height,클리어 헤이트
Clear grounds,명백한 근거
Clearance,통관절차
Cleat,클리이트
Client Requirement Item,선주 요구 사항
Clinometer,경사계(傾斜計)
Clockwise,시계방향(時計方向)
Clogged Filter,필타 막힘
Close-up Survey,정밀근접(近接) 검사
Closed Chock,닫힌 촉
Closed Circuit TV,폐쇄회로 TV
Closed Fair-leader,폐쇄형페어리더
Closed Feed Water,밀폐급수장치
Closed Type Grab Bucket,밀폐형그래브버킷
Closed Type Thrust Bearing,밀폐형 추력베어링
Closest Point of Approach :CPA,최접근점
Closing Appliance,폐쇄 장치(閉鎖裝置)
Closing Appliances,개구폐쇄장치
Closing Plate,폐쇄판
Clutch,클러치
Clutching Test,클러치작동시험
Cmbined Feed Water Heater,종합열교환기
CoGP,모범관행규약
Coaker,코커
Coal Carrier,석탄운반선
Coaming,코밍
Coaming Stiffener,코밍보강재
Coast Defence Ship,연안방위함
Coast Radio Station,연안무선국
Coastal Motorboat,연안경비정
Coastal Navigation,연안항법
Coastal State,연안국
Coasting Area,연해구역
Coasting Service,연안구역항행
Coasting Vessel,연해구역선
Coaxial Cable,동축 케이블
Code,코드
Code Calling System,부호호출법
Code Division Multiple,부호 분할 다중 접속
Coding System of Hull Structure Piece,선각부재(船殼部材)의 기호부여체계
Cofferdam,코퍼댐
Cofferdam ( C/D),코퍼댐 (방유구획실)
Coherent Oscillator,코히어런트 발진기
Coil Boiler,코일보일러
Coil Spring,코일스프링
Coiled Pipe Cooler,코일냉각기
Coke Pig Iron,코크스선철
Coking Coal,코크스용 석탄
Cold Air Blast System,냉풍식
Cold Bending,냉간(冷間) 굽힘
Cold Bending Test,상온굽힘시험
Cold Crack,저온 균열
Cold Drawn Pipe,냉간인발관
Cold Forming,냉간 성형(冷間成形)
Cold Galvanizing,도금손상부 ZINC-RICH PAINT 도포
Cold Rolling,냉간 압연
Cold Shortnedd,냉간취성
Cold Starting,상온시동
Cold Stirage Boat,냉장선
Cold cathode discharge lamp,냉음극 방전램프
Collar,칼라
Collar Plate,칼라판
Collar Thrust Bearing,칼라스러스트베어링
Collect Performance Data,실적자료 수집
Collecting Hopper,집합호퍼
"Collector Ring, Slip Ring",슬립 링
Collier / Coal Carrier,석탄 운반선
Collision,충돌(衝突)
Collision Bulkhead,선수 격벽(船首隔壁)
Collision Mat,방수매트
Colloidal Fuel,콜로이드연료
Color Scheme,배색(配色)
Column Light,칼럼 라이트
Combination Propulsion System,혼합식추진방식
Comboy,호위함
Combustible Material,가연성(可燃性) 물질
Combustion,연소
Combustion Chamber,연소실(燃燒室)
Combustion Knocking,연소노킹
Combustion Stroke,연소행정
Combustor,연소기
Combutile Loss,연소손실
Commander,해군중령
Commissary Equipment,조리설비(調理設備)
Commission International de,국제 조명 위원회
Commission Internationale,유럽전기기기 통일 안전 규격
Committee,위원회
Commodore,해군소장
Common Battery Telephone,공전식 전화기
Common Cause Failure,공통원인고장
Common Criteria,공통(共通)의 기준
Common Mode Rejection,동상 전압 제거비
Common Practice,일반적 인 방법
Common Structural Rules (CSR),공통 구조 규칙
Communal Aerial System,방송(放送)공시청장치
Communication Deck,회선 감시 장치
Communication Tube,통신통
Commutation,정류
Commutator,정류자
Companion,승강구실(갑판상의)
Companion (Way),컴패니언
Companion Way,승강구실
Companionway,승강구(昇降口)
Company Security Officer (CSO),총괄 보안 책임자
Company-wide Program,전사적 프로그램
Comparative Study,비교연구(比較硏究)
Comparison Sheet,비교표
Compass Adjuster,컴퍼스수정사
Compass Bowl,컴퍼스볼
Compass Bridge,컴퍼스선교
Compass Card,컴퍼스카드
Compass Course,컴퍼스침로
Compass Deck,컴퍼스갑판
Compass Deviation,자차
Compass Error,컴퍼스오차
Compasses,컴퍼스(제도용)
Compensating Device,보상장치(補償裝置)
Compensating Machine,보상기
Compensation,보정
Compensation Tank,보정탱크
Compensation for Openning,개구부(開口部) 의 보강(補强
Complement,승무원수
Complementary Transistor,상보 트랜지스터 논리
Complete Combustion,완전연소
Composite Beam,합성보
Composite Boiler,콤퍼짓보일러
Composite Drawing,종합 의장도(艤裝圖)
Composite Flange,복합형플랜지
Compound Generator,복권 발전기
Compound Motor,복권 전동기
Compound Press. Gauge,복합 압력계
Compound Turbine,콤파운드터빈
Compressed Air,압축 공기(壓縮空氣)
Compressed Load,압축하중
Compressed Stroke,압축행정
Compressibility,압축성
Compression Ignition Engine,압축착화기관
Compression Ratio,압축비
Compulsary Item,필수항목(必須項目)
Compulsory Ship Station,의무선박국
Compulsory Watch,청취의무
Compulsory insurance requirements,강제보험요건
Computer Aided,컴퓨터를 이용한 제조
Computer Aided Design,컴퓨터를 이용한 설계
Computer Aided Engineering,컴퓨터를 이용한 엔지니어링
Computer Aided Instruction,컴퓨터를 이용한 학습
Computer Aided Learning,컴퓨터
"Computer Aided Testing,",컴퓨터를 이용한 검사
Computer Integrated,컴퓨터에 의한 통합 생산
Computer Integrated Manufacturing System,컴퓨터통합제조시스템
Computer Numerical Control,컴퓨터 수치 제어
Concave Fillet Weld,오목필릿용접
Concentrate on Problem Solution,문제해결 집중
Concentrated Load,집중 하중(集中荷重)
Concentration of Stress,응력 집중(應力集中)
Concentric Reducer,동심(同心) 레듀샤
Concept Design,개념 설계(槪念設計)
Concrete Ship,콘크리트선
Concurrent Engineering,동시공학(同時工學)
Condensate Pump,복수(復水) 펌프
Condenser,콘덴서
Condenser Type Spot Welder,콘덴서식 점용접기
Condensing Plant,복수기
Conduction Current,도전 전류
Conductivity,도전율
Conductor,단선
Conductor multi,다심
Conductor single,단심
Conference of the Parties (COP),당사국총회
Confidential,비밀의，대외비의
Confined Area,좁은 구역
Conformity,부합성(符合性)
Congested Area,혼잡(밀집) 구역
Conical Buoy,원추형부이
Connecting Bend,접속벤드
Connecting Bridge,연락교
Connection Diagram,접속도(接續圖)
Conning Station,조타(지휘)위치
Consensus,총의
Consequential Damage,간접 손해(間接損害)
Consistancy,일관성(一貫性)
Constant Angular Velocity,정 각속도
Constant Linear Velocity,정 선속도 방식
Constant Speed Drive unit,정속 구동장치
Constant Voltage Constant,정전압 정주파 전원
Constant Voltage Welding Machine,정전압용접기
Construction Period,건조기간(建造期間)
Construction Profile,구조도
Consumable Electrode,용극
Consumable Nozzle,소모노즐
Consumable Nozzle Electro-slag Welding,소모노즐식 일렉트로 슬래그용접
Consumables,소모품(消耗品)
Contact Condition,접촉 상태(接觸狀態)
Contact Damage,접촉손상(선체의)
Contact Group on Piracy in Somalia (CGPCS),소말리아해적퇴치연락그룹
Contactor,접촉기
Container,컨테이너
Container Lashing Equipment,컨테이너고박장치
Container Refrigerator Cooling Sea Water Pump,컨테이너냉동기냉각수펌프
Container Ship,컨테이너선
Contamination,오염(汚染)
Contingency Plan,불예측사태 대응계획
Continueous Survey for Refrigerating Installation,냉동기계속검사
Continuity Test,도통 시험
Continuous Fillet Weld,연속 필렛용접
Continuous Survey,계속 검사(繼續檢査)
Continuous Synopsis Record,선박이력기록부
Continuous Welding,연속용접
Continuous rating,연속 정격
Contra Type Stern,비대칭선미
Contra-rotating Propeller,상반회전프로펠러
Contract Design,계약 설계(契約設計)
Contract Review,계약 검토(契約檢討)
Contract Work Change,계약사양변경
Contracted Mould,축척현도
Contraction Coefficient,수축 계수(收縮係數)
Contraction Scale,축척(縮尺)
Contractual Obligation,계약상 의무(義務)
Contrarotating Propeller,이중반전 (二重反轉) 프로펠라
Contribution,분담금
Control,제어
Control Air Pipe,제어용공기관
Control Chart,관리 도표(管理圖表)
Control Circuit,제어회로
Control Oil Pipe,제어용유압관
Control Panel,제어반
Control Rod,제어봉
Control Span,관리 범위(管理範圍)
Control Station,제어장소
Control Surface,제어판
Control System,제어계통
Control Table,제어테이블
Convection,대류
Convenient Flag Ship,편의 치적선(置籍船)
Convention,협약
Convention of International Regulations for Preventing Collisions at Sea,해상충돌예방협약
Conventions emanating from the Legal Committee,법률위원회 소관 협약
Conversion,환산
Conversion Project,개조 공사(改造工事)
Converter,신호변환기
Convex Fillet Weld,볼록필렛용접
Conveyor,컨베이어
Coolant Quenching Liquid,냉각액(원자로)
Cooler,냉각기
Cooling Air Jacket,냉각공기재킷
Cooling Coil,냉각코일
Cooling Test,냉각시험
Cooling Tower,냉각탑
Cooling Water,냉각수
Cooling Water Jacket,냉각수재킷
Cooper`s Store,음료품창고
Coral Boat,산호채취어선
Cordage,밧줄
Core,노심
Core Diameter,봉 지름
Core Electrode,유심용접봉
Core Loss,철손
Core type Transformer,내철형 변압기
Coreloss Current,철손 전류
Cork Carpet,코르크카핏
Cork Fencer,코르크 방현재
Cork Mat,코르크매트
Cork Paint,코르크페인트
Corner Doubling,모서리덧댐판
Corner Joint,모서리 이음
Correction Factor,수정 계수(修正係數)
Corrective Action,시정 조치
Corrective Action Request,시정 조치 요구서
Corrective Maintenance,개량보전
Correspondence Group,통신작업반
Corridor,통로(通路)
Corridor Bulkhead,통로격벽
Corrosion,침식
Corrosion Control,방식 관리(防蝕管理)
Corrosion Cracking,부식균열
Corrosion Fatigue,부식피로
Corrosion Inhibitor,부식 억제제
Corrosion Margin,부식여유
Corrosion Rate,부식도(腐蝕度)
Corrugated Bulkhead,파형격벅
Corrugated Bulkhead (Corr. Bhd),파형격벽(波形隔壁)
Corrugated Shell,주름외판
Corrugated Vessel,주름외판선
Cosmetic Nature,미관상(美觀上) 문제
Cost Accounting,원가계산(原價計算)
Cost Control,원가 관리(原價管理)
Cost Savings,원가 절감
Cost of Obsolescene,진부화(陳腐化) 손실
Cost-Benefit analysis,비용-편익 분석
Cotter,코터
Council,이사회
Council Reform,이사회 개편
Counter,선미돌출부
Counter Sinking,카운터싱킹
Counter-balance Valve,카운터밸런스 밸브
Counterclockwise,시계반대방향
Counterfiow Heat Exchnger,역류열교환기
Counterflow,역류(逆流)
Coupling Bolt,카플링 볼트
Coupling Flange,커플링플랜지
Course,침로
Course Developer,코스 개발자
Course Keeping,보침
Course Keeping Ability,보침성능(保針性能)
Course Recorder,진로기록기
Course Steered,평균침로
Covenant /Charter / Statute,규약 / 헌장 / 규정
Cowl Head Ventilator,고깔형 통풍통
Coxswain,정장
Crab Factory Ship,게가공선
Crab Mother Ship,게잡이 모선
Crack Arrester,균열 멈추개
Crack Arrestor,균열 멈추기
Crack Initiation and Propagation,균열 발생및 전파
Craddle,크래들
Crane,크레인
Crane Barge,기중기바지선
Craneman`s House,크레인조종실
Crank,크랭크
Crank Arm,크랭크암
Crank Bearing,크랭크축베어링
Crank Pin,크랭크핀
Crank Pin Bearing,크랭크핀베어링
Crank Pump,크랭크식펌프
Crank Shaft,크랭크축
Crankcase,크랭크 실(室)
Crankshaft Deflection,크랭크축의 디프렉숀
Crash Ahead/Astern,클래쉬 전진/후진
Crash Duration,특급(特急) 소요기간
Crater,크레이터
Crawler Crane,크롤러크레인
Creation and Maintenance of the Data Base,데이타 베이스의 생성및 유지관리
Creation of Employment,고용 창출
Credential,신임장
Credential Committee,신임장 위원회
Creepage,크리페이지
Crew Space,선원실
Crew's effects,승무원의 일용품
Crew`s Quarter,선원거주지역
Criteria,기준(基準)
Criteria for Rework,재작업(再作業) 기준
Criteria of Acceptance,합격판정 기준
Critical Damping Resistance,임계 제동 외부저항
Critical Fusion Frequency,임계 융합 주파수
Critical Path,주공정(主工程)
Critical Speed,위험속도(危險速度)
Critical Temperature,임계 온도 저항기
Crosing Vessel,횡단선
Cross Beam,횡보
Cross Bitt,크로스비트
Cross Flooding,보상침수
Cross Sea,역파
Cross Section,횡단면(橫斷面)
Cross Tie,크로스 타이
Cross Wire Welding,크로스 와이어 용접
Crosscut Chisel,홈파기끌
Crosshead Lubricating Oil Pump,크로스헤드윤활유펌프
Crossover Way,교차통로(交叉通路)
Crosstie,크로스타이
Crowbar,쇠지레
Crowler Unit,크롤러주행장치
Cruciform Bollard,십자(十字)形 볼라드
Cruiser Ship,유람선(游覽船)
Cruiser Stern,순양함형 선미(船尾)
Cruising Circle,순항권
Cruising Range,순항 거리(巡航距離)
Cruising Speed,순항속력
Crushing Test,압괴시험
Cryogenic Temperature,저온(底溫)
Cumulative,누적(累積)의
Curie Point,퀴리점
Curie Temperature,퀴리 온도
Curing,경화건조(硬化乾燥)
Current Controlled Negative,전류제한 負 저항
Current Meter,유속계
Current Mode Logic,전류 논리 모드
Current Sailing,조류항법
Current Standing Wave Ratio,전류 정재파 비
Current Transformer,계기용 변류기
Current Transformer (C.T),계기용 전류변환기
Current to Pneumatic,전류 - 공기압 전환기 .
Curtain Plate,커튼판
Cut Steel Plate,절단된 철판
Cutting Drawing,절단 도면(切斷圖面)
Cutting Flame,절단염
Cutting Shoulder,절단 턱
Cutting Tip,절단 팁
Cutting Torch,절단 토치
Cutwater,물가르개
Cyber Security,사이버보안
Cyclic Digital Transmission,사이클릭 디지털 정보 전송
Cylinder,실린더
Cylinder Barrel,실린더배럴
Cylinder Block,실린더블록
Cylinder Bore,실린더내경
Cylinder CutOff Test,실린더 텃오프시험
Cylinder Jacket Water Pump,실린더재킷 냉각수펌프
Cylinder Liner,실린더 라이너
Cylinder Liner (Cyl. Liner),실린더 라이너
Cylinder Lubricating Pump,실린더윤활펌프
D mld (Moulded Depth),형(型) 깊이
D-HF,해상 디지털 HF 통신시스템
D/B ( Double Bottom),이중저(二重底)
D/B W.B.T(Double Bottom Water Ballast Tank),이중저 발라스트탱크
DAMAGE CONTROL BOOK,보수서
DAMAGE STABILITY,손상 복원성
DAMPER WINDING,난조 방지 권선
DAP(Detailed Assembly Procedure),세부조립 절차서
DATA BASE,데이터 저장소
DAVID TRILOR RESEARCH CENTER,미해군 수조시험 연구소
DC,LRIT 데이터 센터
DC (Direct Current),직류(直流) 전류
DC Arc Welding,직류아크용접
DC MOTOR,직류 전동기
DC Motor,직류 전동기
DCFW (Double Continuous Fillet Welding),양면연속(兩面連續) Fillet 용접
DCRP(D.C Reversed Polarity),역극성(逆極性)
DCSP(D.C Straight Polarity),정극성(正極性)
DDP,LRIT 데이터 분배 계획
DEAD SHIP CONDITION,데드쉽
DEADWEIGHT,재화 중량(톤)
DEADWEIGHT MEASUREMENT,재화중량 측정
DEBIT NOTE,차변표
DECIBEL,데시벨(소음 측정단위)
DECK,갑판
DEEPSLOT SQUIRRELCAGE INDUCTION MOTOR,심구 농형 유도 전동기
DEHUMIDIFIER,제습기
DELIVERY,인도
DELIVERY AGAINST PAYMENT,지불도 조건
DELIVERY ORDER,화물 인도 지시서
DELIVERY POINT,인도(입고) 요구장소
DEMAND DRAFT,환어음
DEMAND TYPE CODE,자재 소요 유형 CODE
DEPARTMENT OF TRADE,영국 통상성
DEPRATMENT OF TRANSPORTATION,미국 운수성
DESIGN LOAD WATER LINE,계획 만재 홀수선
DESIGN PRESSURE,설계 압력
DET NORSKE VERITAS,노르웨이 선급
DETAIL DRAWING,상세도면
DETAILED ASSEMBLY,상세작업요령서
DETAILED ASSEMBLY PROCEDURE,상세작업요령서
DETAILED ASSEMBLY PROCESS,작업시방서
DETERMINISTIC STABILITY,결정론적 복원성
DEUTSCHE INDUSTRIE NORMEN,독일공업규격
DEUTSCHES INSTITUT FUR NORMUNG,독일 국가 규격
DEW POINT,"이슬점, 노점 (露點 )"
DFT (Dry Film Thickness),건도막(乾塗膜) 두께
DGPS(Differential Global Positioning System),정밀위성항법 장치
DIAMETER,직경
DIELECTRIC LOSS,유전손
DIELECTRIC SUBSTANCE,유전체
DIESEL ENGINE GENERATOR,디이젤발전기
DIESEL GENERATOR,발전기
DIESEL OIL,디젤 연료유
DIESEL OIL TANK,디젤 탱크
DIFFERENTIAL COMPOUND,차동 복권
DIFFERENTIAL GAIN,미분 이득
DIFFERENTIAL GAIN/DIFFERENTIAL PHASE,미분 이득 / 미분 위상
DIFFERENTIAL GLOBAL POSITIONING SYSTEM,정밀 위성항법장치
DIFFERENTIAL PHASE,미분 위상
DIFFERENTIAL PHASE SHIFT KEYING,차분위상 시프트 키잉
DIFFERENTIAL PULSE CODE MODULATION,차분펄스 부호 변조방식
DIFFERENTIAL TRANSFORMER,차동 변압기
DIGITAL ANALOG CONVERTER,디지털 아나로그 변환기
DIGITAL SIGNAL PROCESSOR,디지털 신호처리 장치
DIGITAL VOLTMETER,디지털 전압계
DILUENT,희석제
DIMENSION,치수
DIN(Deutsche Industrie Normen),독일 공업규격
DIRECT CURRENT,직류
DIRECT CURRENT ELECTRODE NEGATIVE,정극성
DIRECT CURRENT ELECTRODE POSITIVE,역극성
DIRECT CURRENT GENERATOR,직류 발전기 ( 直流發電機 )
DIRECT CURRENT REVERSE POLARITY,직류 역극성
DIRECT CURRENT STRAIGHT POLARIRY,직류 정극성
DIRECT DIGITAL CONTROL,직접 디지털 제어
DIRECT NUMERICAL CONTROL,직접 수치 제어
DISTORTION FACTOR,왜율
DISTRIBUTED CONTROL SYSTEM,분산 제어 시스템
DISTRIBUTED CONTSOLED,보일러플랜트자동운전제어시스템
DISTRIBUTED CONTSOLED SYSTEM,보일러플랜트자동운전제어시스템
DISTRIBUTION AUTOMATION SYSTEM,배전자동화 시스템
DISTRIBUTION SUBSTATION,배전 변전소
DISTRIBUTION TRANSFORMER,배전 변압기
DLWL(Design Load Water Line),계획만재 흘수선
DMPT group,데이터모델 프로젝트팀
DNV(Det Norske Veritas),노르웨이 선급(船級)
DO ( Diesel Oil),디젤유
DOCKING SURVEY,입거 검사
DOCUMENT AGAINST ACCEPTANCE,인수도 조건
DOPPLER EFFECT,도플러 효과
DOT(Department of Trade),영국 통산성
DOT(Department of Transportation),미국 운수성
DOUBLE BOTTOM,선저 밑바닥
DOUBLE BOTTOM WATER BALLAST TANK,선저 탱크
DOUBLE HETEROSTRUCTURE,더블 헤테로 접합
DOUBLE-SIDE SKIN SPACES,이중선체 공간
DOWN PAYMENT,선수금
DPS ( Dynamic Positioning System),자동위치 유지장치
DRAFT,홀수
DRAIN HOLE,배수공
DRINKING WATER,마시는 물
DRIVING CHAIN,구동체인
DRIVING CHAIN SPROKET,구동체인 SPROCKET
DRIVING SHEEVE,구동쉬브
DRY BULB,대기온도 건조기
DRY FILM THICKNESS(μ),건조된 도막 두께 ( ↔ WFT )
DSA(Direct Stability Assessment),직접 복원성 평가
DSC,디지털 선택 호출장치
DSQS (Daewoo Shipbuilding Quality Standard),대우조선 품질기준
DSV,잠수지원선
DUMMY ACTIVITY NUMBER,임시공정번호(자재발주 시점에 실제 생산공정에 자재할당이 곤란하여 사용)
DUMPING FACTOR,제동 계수
DURATION,기간
DWT (Deadweight Tonnage),재화중량톤
DYNAMIC MODEL,다이나모
DYNAMIC POSITIONING SYSTEM,본선 위치 유지 시스템
Damage Repair,손상부위 수리
Damage Survey Report,손상조사 보고서
Damper Winding,난조 방지 권선
Danage Survey,손상검사
Danaged Stability,손상후 복원성
Dang,갱
Dangerous Goods,위험물
Dangerous Space in a Tanker,탱커의 위험장소
Data Collection,자료 모음
Data set,데이터 세트
Datum Line,기준선(基準線)
Davit,대빗
Day Shift,교대근무시 야간근무
Day of Seafarer,선원의 날
Db (Decibel),데시벨(소음측정값)
Dead Flat,데드플랫
Dead Slow,최저속
Dead Stock,사장재고(死藏在庫)
Dead Weight : DWT,재화중량
Deadrise,선저 구배(船底勾配)
Deadweight Measurement,중사시험(重査 試驗)
Deadwood,데드우드
Deaeration,탈기
Deaerator,공기 분리기
Decca System,데카방식
Deceptive practices,기만적 관행
Dechlorinating,탈염소(脫鹽素)
Decision Making,의사결정(意思結定)
Deck Beam,갑판 보
Deck Below,갑판(甲板)아래
Deck Block,갑판 블록
Deck Composition,데크 콤포지션
Deck Covering,갑판 피복(甲板被覆)
Deck Crane,갑판 크레인
Deck Decompression Chamber,선상가압실
Deck Exhaust Pipe,갑판 배기관
Deck Fittings,갑판 의장품(艤裝品)
Deck Girder,갑판 거어드
Deck Height,갑판높이
Deck Lighr,갑판유리
Deck Load,갑판 적하물(積荷物)
Deck Lomgitudinal,갑판 세로보
Deck Longitudinal,갑판 종재(甲板縱材)
Deck Machinery,갑판 기계(甲板機係)
Deck Openning,갑판 개구부(開口部)
Deck Passenger,갑판여객
Deck Pipe,갑판배관
Deck Plan,갑판 구조도
Deck Planer,목판대패
Deck Plating,갑판
Deck Prism Light,갑판 프리즘
Deck Scupper,갑판 배수구
Deck Side Line,갑판현측선
Deck Stanchion,갑판 기둥
Deck Stopper,갑판 스토퍼
Deck Store,갑판 창고
Deck Stowage,갑판 적재
Deck Stringer,갑판 스트링거
Deck Under,갑판하부측
Deck Wash Pump,갑판청소 펌프
Deck Water Seal,갑판의 가스역류방지
Deck wetness,갑판침수
Deckhouse,선실(船室)
Declaration of Maritime Labour Compliance,해사노동적합선언서
Declaration of Security (DOS),보안선언서
Decorative Light,장식등(裝飾燈)
Decreasing Piych Propeller,체감피치프로펠러
Deep Mixing Barge,심층혼합처리선
Deep Sea Lead,심해측심추
Deep Sounding Machine,심해측심기
Deep Tank,디이프 탱크
Deep-well Pump,탱크내부설치 펌프
Deepslot Squirrelcage,심구 농형 유도 전동기
Defect,결함(缺陷)
Deficiency,결함
Definition,정의(定義)
Deflection Anhle,처짐각
Deflection Plate,반사판(反射板)
Deformation,변형(變形)
Deformation of Cargo Hatch,창구변형
Degaussing System,소자장치
Degradation,성능 저하(成能低下)
Degreasing,탈지(脫脂)
Dehumidifier,제습기(除濕機)
Deicing,얼음떨기
Delegation of Authority,권한 위임
Delete,삭제，취소(取消)
Delivered Output,전달출력
Delivered Power,전달동력
Delivery,인도
Delivery Lead Time,납품 소요기간
Demurrage,정선료(停船料)
Denunciation and Withdrawal,폐기 및 탈퇴
Deoxidation Practice,탈산방법(脫酸方法)
Departure Condition,출항(出航) 컨디션
Deposit Metal,용착 금속(熔着金屬)
Deposition,기탁
Depreciation,감가상각(減價償却)
Depth of Hold,화물창깊이
Derating Exemption Certificate,구서(驅鼠) 면제증서
Derrick,데릭
Derrick Boom,데릭붐
Derrick Post,데리크 기둥
Derrick Table,데릭테이블
Desiccant,건조제(乾燥劑)
Design Change,설계 변경(設計變更)
Design Contractor,설계 계약업자
Design Criteria,설계 기준(設計基準)
Design Details,설계 상세(設計詳細)
Design Life,설계 수명
Design Load,설계 하중(設計荷重)
Design Model,설계모형(設計模型)
Design Requirements for,설계 요구사항
Design Review,설계 검토(設計檢討)
Design Standard (for),설계표준(設計標準)
Design by Zone by Ship type,선형별/구획별 설계
Design for Production,생산을 고려한 설계
Designed Condition,설계조건(說計條件)
Designed Load Draft (Td),계획만재 흘수
Destroyer,구축함(驅逐艦)
Detachable,취외가능(取外可能)한
Detail Design,상세 설계(詳細設計)
Detail Scheduling,소일정(小日程) 계획
Detector,검출기(檢出器)
Detention,출항정지
Detergent,계면활성제
Deutsches Institut fur,독일 국가 규격
Developed Area,전개면적
Deviation,편차.이탈(偏差離脫)
Deviation Alarm,편차경보
Diagonal Line,대각선(對角線)
Dial Gauge,다이얼 게이지
Dial Switch,다이얼 스위치
Dial Thermometer,다이얼 온도계
Dialatometer,팽창계
Diamond Plate,다이아몬드 판
Diaphram Plate,다이아프램 판
Die Forging,형단조
Diecasting,다이캐스팅
Dielectric Loss,유전손
Dielectric Strength Test,절연내력시험
Dielectric substance,유전체
Diesel Electric Drive (Propulsion),디젤전기추진
Diesel Electric Propulsion,디이젤 전기추진
Diesel Generator,디젤발전기
Diesel Generator (D/G),디이젤 발전기
Diesel Oil,디젤유
Diesel Oil Settling Tank,에이중유세틀링탠크
Differential,미분 이득 / 미분 위상
Differential (Diff.) Pressure,차압(差壓)
Differential Block,차동도르래
Differential Compound,차동 복권
Differential Gain,미분 이득
Differential Phase,미분 위상
Differential Phase Shift,차분위상 시프트 키잉
Differential Pulse Code,차분펄스 부호 변조방식
Differential Transformer,차동 변압기
Difrector,디프렉터
Digital Analog Converter,디지털 아나로그 변환기
Digital Signal Processor,디지털 신호처리 장치
Digital Voltmeter,디지털 전압계
Dihumidification,탈습
Dihumidifier,탈습제
Dimension,차원
Dimensional Control,치수 관리
Dimmer Switch,광도(光度)가감스위치
Dipper Bucket,디퍼버킷
Dipper Dredger,디퍼준설선
Direct Current,직류
Direct Current : DC,직류
Direct Digital Control,직접 디지털 제어
Direct Drive,직결구동
Direct Labor Cost,직접 노무비
Direct Numerical Control,직접 수치 제어
Direct Reversible Diesel Engine,자기역전디젤기관
Direct Reversing Gear,직접역전장치
Direct action,직접청구권
Direct current generator,직류 발전기 ( 直流發電機 )
Directional Control Valve,방향제어밸브
Director,살수기
Disassemble,분해(分解)
Disconnection,분리(分離)
Discrepancy,차이점(差異點)
Disk Cutter,디스크커터
Dismantling,해체(解體)
Dispensary,진료실
Dispensation,완화증서
Displacement Curve,배수량곡선
Displacement Tonnage,배수(排水) 톤수
Display Unit,표시장치(表示裝置)
Disposal of Garbage,폐기물의 처분
Distance Indicator,항적지시기
Distance Piece,틈메움쇠
Distilled Water,증류수
Distilling Plant,증류장치
Distortion,뒤틀림
Distortion Factor,왜율
Distress Message,조난통보
Distress Signal,조난신호
Distributed Control System,분산 제어 시스템
Distribution Automation,배전자동화 시스템
Distribution Board (D.B),분전반(分電盤)
Distribution Substation,배전 변전소
Distribution Transformer,배전 변압기
Divergent Nozzle,발산노즐
Dock Trial,계류 운전
Docking,입거
Docking Bracket,도킹 브래킷
Docking Plan,반목 도면(盤木圖面)
Docking Survey,입거 검사(入渠檢査)
Dog Shore,멈춤지주
Dog-Shore 【,조선】(진수할때까지배를떠받치는)버팀기둥
Domestic Vessel,내항선
Donkey Boiler,보조(補助) 보일러
Donkey Man,정박당직자
Door Mat,문매트
Door Sill,문지방(門地枋)
