영단어|한국단어|설명
Milling Cutter|밀링커터|원반형 회전절삭공구를 사용하여 공작물의 표면을 가공하는 공작기계
Wax Pattern|밀본|밀랍으로 만든 모형을 주물모래에 묻고 가열하여 밀납을 녹여 주형을 만드는데 사용하는 것
Closed Feed Water|밀폐급수장치|급수중에 공기가 섞이지 않게 고안된 급수장치
Closed Type Thrust Bearing|밀폐형 추력베어링|여러 개의 플랜지에 의해 추력이 전달되는 베어링
Closed Type Grab Bucket|밀폐형그래브버킷|오염된 진흙 등을 수중에서 파낼 때 수면의 오염을 막기 위해 밀폐형으로 만든 그래브 버킷
Stowaway|밀항자|선내에 숨어들어 불법으로 국외로 나가는 사람
Underlaying|밑깔기 용접|덧대기용접시에 용접살이 떨어지거나 터지는 것을 막기 위해 미리 모재에 터지지 않는 금속을 깔아주는 것
Base Cargo|밑짐|일반화물선에서 선창바닥에 적재하는 단일화물
Base Plate|밑판|기관대 맨 아래에 붙는 두꺼운 판
Outside Staging|바깥발판|선박의 외판공사를 위해 현측에 설치하는 작업발판
Outer Hull|바깥선각|이중선체구조에서 바깥쪽의 선각
Vanish|바니시|유성도료의 일종
Floor Space|바닥면적|선원 및 여객거주에 사용되는 바닥 면적
Checkr (Checkered) Plate|바닥무늬판|미끄럼 방지를 위하여 기관실 등 마루나 발판에 까는 표면에 돌출무늬가 있는 강판
Base Block|바닥침목|선박을 앉힐 때 쓰는 받침목 중 맨 아래 깔리는 것
Floor Plate|바닥판|마루바닥을 구성하는 목재 또는 강판
Exposed Wind Area|바람맞이면적|풍향에 수직한 평면에 대한 선체 수선면 상부구조물의 투영면적
Straightning|바로잡기|굽거나 뒤틀린 부재를 바로잡는 일
Bow Roller|바우롤러|로프가 선체와 쓸리지 않도록 선수에 붙인 롤러
Barge Loading Cutter Suction Dredger|바지적립식준설선|준설펌프와 현측적립장치를 갖추고 준설한 토사를 현측의 토사운반선에 직접 실어주는 준설선
Drilling Barge|바지형굴착선|해저굴착장비를 갖춘 무동력 부선
Sheet Steel|박강판|냉간압연 된 두께 1.6mm이하의 얇은 강판
sheet Metal|박판|두께 1.6mm이하의 얇은 금속판
Reaction Rudder|반동타|프로펠러 후류의 회전방향과 반대로 꼬이게 만든 타
Reaction Turbine|반동터빈|증기의 반동과 충동작용에 의해 모터를 회전시키는 방식의 터빈
Half Beam|반보|선창이 뚫린 부분에 해치사이드거더와 선측늑골 사이에 붙는 갑판보
Half Round Bar Steel|반원단면강|단면이 반원으로 된 강재
Semi-portable Fire Extinguisher|반이동식소화기|들고 다니기에는 커서 밀차에 실려 움직이는 소화기
Semi-automatic Welding|반자동용접|용접봉은 와이어상태로 자동공급되는 것을 손으로 잡고 운봉하는 용접방법
Semi-submersible Drilling Unit|반잠수형굴착선|해저를 굴착하는 반잠수식 플랫폼
Half Model|반쪽모형|선체중심선면에서 어느 한쪽(일반적으로 우현)의 모형만을 만든 것
Semi-balanced Rudder|반평형타|타의 일부분은 평형타와 같고 나머지는 불평형 모양으로 된 타
Divergent Nozzle|발산노즐|목이 좁아졌다가 다시 넓어지는 끝을 가진 노즐
Transmitting Compass|발신식컴퍼스|방위신호를 발신하여 리피터컴퍼스를 작동시키거나 다른 기기에 방위신호를 주는 장치
Visible Air Whistle|발연기적|기적을 울리면서 백색가루를 뿜어 마치 증기를 뿜는 것 처럼 보이게하는 기적
Generator Room|발전기실|발전기를 설비하고 전기를 일으키는 곳
Dynamo Engine|발전용기관|발전기를 구동하는 원동기
Stage Plank|발판판자|높은 곳에 올라서 작업할때 딛고 서는 판자
Cordage|밧줄|섬유로프 중 지름이 가는 것들의 총칭
Torpedo Net Boom|방뢰망 붐|어뢰공격을 막기 위해 설치하는 방뢰망을 선체에서 멀어지게하기 위해 사용하는 붐
Radiograhp|방사선사진|방사선검사에 사용되는 사진
RT : Radiographic Test|방사선투과시험|금속구조물 내부의 결함을 찾기 위하여 방사선(엑스선 또는 감마선)을 투과시켜 촬영하여 그 결과로 검사하는 방법
Radio Activity Fire Extinguishing System|방사선화재방지장치|방사능물질에 의해 연기를 탐지하는 화재경보장치
Water Proof|방수|비나 이슬 등에 노출돼도 물이 스미지 않는 상태 또는 성질
Collision Mat|방수매트|충돌 등에 의해 선체손부로 침수되는 것을 임시로 막기 위해 외판 바깥쪽으로 밀착시켜 사용하는 캔버스제 매트
Immersion Suit|방수복|수중에서 물에 젖지 않고 체온을 유지하도록 만든 피복
Anti-corrosive Paint|방식도료|금속표면의 부식방지를 위해 칠하는 도료
Protective Deck|방어갑판|포탄이나 폭발물의 파괴력을 견디도록 두껍게 설치한 갑판
Smoke Helmet|방연헬밋|연기에 질식되지 않고 호흡이 되도록 쓰는 마스크
Radiator|방열기|열을 발산시키는 장치의 총칭
Thermal Insulation Door|방열문|방열재를 사용한 문
Anti-fouling Paint|방오도료|선체표면의 생물부착으로 인한 부식과 마찰저항증가 등을 방지하기 위해 사용되는 침수부 도료
Anti-fouling Composition|방오재|해양생물의 부착을 막기 위해 도료에 혼합하는 약재(일반적으로 독성이 강함)
Bearing|방위|좌표상의 한 점에서 다른 곳의 목표물을 보는 방향
Azimuth Mirror|방위경|자기컴퍼스로 목표물의 방향을 측정할 때 사용되는 기구
Azimuth Table|방위표|천체방위측정에 사용되는 표
Sound Insulation Construction|방음구조|음성의 전파를 차단하는 구조
Net Layer|방잠망부설선|잠수함 침입을 막는 그물을 부설하는 선박
Percussion Welding|방전 충격용접|축적한 전기적 에너지를 용접부에 공급하여 순간적 방전에 의한 용접부의 가열을 유도하고 동시에 또는 직후에 충격적 압력을 가하여 부재를 접합하는 용접
Anti-corrosive Paint|방청도료|방식도료와 동일
Splinter Bulkhead|방충격벽|군함에서 폭풍이나 파편등으로부터 보호받기 위하여 설치하는 격벽
Breakwater|방파체|파도의 피해를 막기 위해 항만 등에 설치한 뚝
Explosion-proof (Fire-proof) Apparatus|방폭기기|폭발성 가스나 증기가 있는 공간에서 안전하게 작동될 수 있는 기기
Fender|방현재|선박이 안벽이나 다른 선박과 접촉할 때 손상과 충격을 막기 위하여 양현에 붙이는 완충재
Barstem|방형선수재|단면이 직사각형인 선수재
Bar Keel|방형용골|용골익판(Garboard Strake)에 의해 양쪽이 고정되어 마치 목선의 용골형태를 그대로 채용한 사각단면의 용골
Fire Protection Construction|방화구조|화재가 다른 곳에 전파되는 것을 방지하는 구조
Piping Diagram|배관계통도|선내의 배관을 계통(사용 용도)에 따라 나타낸 도면
Piping Work|배관공사|도면에 따라 관장치를 제작 설치하는 작업
Exhaust Gas Boiler|배기가스보일러|기관의 배기가스만으로 증기 또는 온수를 끓이는 보일러
Exhaust Gas Economizer|배기가스이코노마이저|기관의 배기가스만으로 증기 또는 온수를 끓여 별도의 보일러로 공급하는 장치
Exhaust Gas Turbine|배기가스터빈|내열기관에서 배출되는 가스의 열에너지를 이용하여 운영하는 가스터빈
Exhaust Manifold|배기다기관|다실린더기관에서 각 실린더의 배기를 한데 모아서 배출하는 관
Exhaust Steam Oil Separator|배기분유기|갑판기계 등에 사용된 배출증기 중에 함유된 기름을 분리하는 장치
Wiring|배선|통신기기나 전기기기를 연결하는 도선
Wiring Diagram|배선도|배선을 나타내는 도면
Displacement Tonnage|배수량 톤|물에 떠있는 배의 수면 하 부피와 같은 물의 무게로 나타냄. 주로 군함과 특수목적선의 크기를 이것으로 나타냄
Displacement Curve|배수량곡선|배의 흘수에 대응하는 배수량을 나타낸 곡선
Back Metal|백메탈|일면만 용접할 때 뒷면으로 용착금속이 흐르지 않도록 뒷면에 붙이는 금속편
White Zinc Paint|백색아연페인트|백색이 나는 산화아연을 안료로 하는 백색마감도료
White Lead Paint|백연페인트|백연을 주 원료로 하는 백색페인트
Flakes|백점|강재의 다듬질면에 생기는 미세한 균열
Ballast Condition|밸러스트상태|화물을 실지 않은 공선에서 밸러스트탱크에 물을 채운 상태
Ballanced Chain|밸런스드체인|잠수선의 수심을 유지하기 위하여 배에서 내리는 체인
Valve Spindle Spnner|밸브스패너|밸브핸들을 돌릴 때 사용하는 갈퀴와 손잡이가 있는 봉
Valve Sticking|밸브용화|밸브장치가 외적인 요인으로 작동이 불량해진 상태
Burner|버너|액체연료나 가스를 연소시키는 장치
Burner Tip|버너팁|기름버너 끝에 붙은 분사구
Mushroom Anchor|버섯모양 앵커|버섯모양으로 생긴 앵커
Mushroom Ventilator|버섯형통풍통|배의 거주구역이나 창고 등에 사용되는 버섯모양의 자연통풍통
Bus Duct|버스덕트|버스바를 넣은 폐쇄구조의 전기회로
Bucket Dredger|버킷식준설선|컨베어벨트에 일정간격으로 달린 버킷이 회전하면서 토사를 퍼서 운반하고 반대편에서 쏟아내는 방식의 준설선으로 연약지대에 적합함
Buttering|버터링|맞대기용접에서 모재의 열영향을 적게하기 위해서 홈 표면에 다른 종류의 용접금속으로 덧땜하는 것
Butterworth Pump|버터워스폄프|유조선의 기름탱크세척에 사용되는 고온 고압의 해수펌프
Butt|버트|외판이나 갑판의 이음매 중에서 선수미방향에 수직인 이음매
Vertical Keel|버티컬킬|판용골에 수직하게 붙는 중심선 종통재
Baloon Hatch|벌룬탑|기상관측기구를 띄우기 위한 장치
Bulb Tee|벌브티|웹 끝부분에 벌브가 달린 T형재
Bulbe Plate|벌브판|한쪽 변에 벌브가 달린 띠판(Flat Bar)
Bulge|벌지|선체외판의 일부를 부풀린 형상
Bulging Schell|벌지외판|흘수선 부근에 벌지를 붙이기 위한 외판
Oil/Bulk Carrier|벌크유조선|벌크화물과 원유를 운송하는 겸용선
Sailing Vessel (Ship)|범선|추진기관 없이(있더라도) 돛만으로 항해할 수 있는 배
Sailing|범선항법|돛을 조작해서 배를 항주시키는 방법
Statutory Deck Line|법정갑판선|건현갑판의 상면연장선과 외판 표면이 만나는 선
Statutory Freeboard|법정건현|만재흘수선규정에서 지정한 건현
Venecian Door|베니션도어|통풍이 잘되도록 살이 끼워진 문
Veneer|베니어|두께가 약 1/20inch 이하인 얇은 목판
Veneer Board|베니어판|얇은 목판을 결이 서로 직교하도록 겹쳐붙인 판재
Bevel Angle|베벨각|부재 끝에 홈을 만들기 위하여 가공한 면과 부재 표면에 수직인 면이 이루는 각
Bevel Frame|베벨늑골|경사부의 외판과 만나는 늑골의 접축각을 유지하기 위하여 각도를 틀어준 늑골
Bevel Cut|베벨절단|표면에 대하여 직각이 아닌 기울어진 각도로 절단하는 것
Vapor Lock|베이퍼록|연료유관 내에 증기가 차서 연료유펌프에서 연료공급이 안되는 상태
Bailer|베일러|배에 들어온 물을 퍼내는 바가지
Becket|베킷|화물을 한묶음으로 하역훅(고리)에 걸어주는 그물도구
Vent Pipe|벤트관|화물유탱크내의 과압과 부압의 방지를 위한 통기관
Bellows Type Expansion Pipe Joint|벨로즈식 신축관이음새|주름진 관으로 만든 신축식 이음토막
Edge Joint|변두리이음|두 부재의 겹친 끝면을 함께 용접하는 이음
Edge Joint Welding|변두리이음용접|변두리 이음형식의 용접
Transformer|변압기|1차코일과 2차코일의 권수비례에 따라 교류전압을 변환시켜주는 장치
Strain Hardening|변형경화|재료에 항복점 이상의 하중이 걸려 소성변형이 일어났을 때 재료의 경도가 높아지는 현상
Transducer|변환기|기계적신호를 전기적신호로 바꿔주는 장치의 총칭
Troopship|병력수송선|군대와 군수물자를 수송하는 선박
Chain Intermittent Fillet Welds|병렬단속필렛용접|대칭되게 비드를 놓는 단속필렛용접
Hospital Ship|병원선|병자치료와 수송에 필요한 설비와 의료요원을 갖춘 선박
Reinforced Structure|보강구조|선체구조에서 강도가 약해진 곳이나 국부적으로 큰 하중이 걸리는 부분 등에 강도를 높여준 구조
Stiffener|보강재|판재가 하중을 받아 휘거나 변형되는 것을 막아주기 위해 붙이는 형재
Tender|보급선|정박중인 큰 배와 육지 사이를 오가며 인원 물자 등을 실어나르는 작은 선박
Bonnet|보닛|모터보트의 엔진을 씌워주는 목제 또는 금속제 덮개
Boring|보링|구멍을 뚫거나 구멍의 내벽을 깎는 가공
Boring Machine|보링머신|보링작업을 하는 공작기계
Guarantee Work|보상공사|선박이 완공 인도된 후 일정기간 동안에 발생하는 하자에 대하여 조선소가 무상으로 보수해주는 것
Cross Flooding|보상침수|선박이 침수로 한쪽이 기울 때 이를 바로 세우기 위하여 반대쪽에 물을 채우는 것
Boss|보스|허브와 동의어
Boss Plate|보스외판|주진축이 선미로 노출되는 끝부분에 붙는 선미관을 둘러싼 외판
Thermal Protective Aid|보온복|온도보호가 잘되는 방수물질로 된 옷 또는 포대기
Boiler|보일러|증기보일러 참조
Boiler Hosepower|보일러마력|저압보일러의 증기발생능력을 나타내는 단위
Boiler Steel|보일러용 강재|보일러의 동체와 같은 주요구조에 사용되는 킬드강
Boiler Compound|보일러청정제|보일러수에 첨가되어 정화시켜주는 화학약품
Boiler Graphite|보일러흑연|보일러 내부방식을 막아주는 흑연도료
Compensation|보정|기기에서 주위조건 변화에 따르는 오차를 제거하는 것
Compensation Tank|보정탱크|잠수함에서 소비되는 소모품의 중량에 해당되는 물을 채워주워주는 탱크
Sailing Vessel With Auxiliary Enginr|보조기관붙이범선|추진장치로서 돛을 사용하고 엔진은 보조하는 용도로 구비한 배
Branch Anchor|보조앵커|앵커의 파지력을 높이기 위하여 주앵커체인에서 나누어 달린 보조체인에 붙은 앵커
Guarantee Engineer|보증기사|새로 설치된 기관의 작동을 확인하기 위하여 제작사에서 항해에 동승시키는 기술자
Course Keeping|보침|배가 침로를 유지하는 것
Bottom Heavy|보텀헤비|배의 중심위치가 낮아진 상태
steerage Passenger|보통선객|독방을 차지하지 않는 가장 싼 운임의 여객
Boat Cover|보트덮개|격납상태의 보트를 보호하는 덮개
Boat Skate|보트스케이트|보트가 현측을 잘 미끄러지게 하기위해 보트에 붙인 가이드
Boat Skid|보트스키드|보트가 현측을 잘 미끄러지게 하기위해 현측에 붙인 가이드
Boat Fall|보트펄|보트의 승강에 사용되는 로프
Guard Bar|보호봉|프로펠러의 전리부식을 막기 위해 부근에 붙여주는 아연판
Goggles|보호안경|용접시에 용접광선과 불똥 등으로 부터 눈을 보호하기 위하여 작업자가 쓰는 안경
Protective Coatings|보호피막|표면의 오손이나 부식을 방지하기위해 입히는 금속 또는 비금속 피막
Double Acting Engine|복동기관|왕복동기관에서 피스턴의 양쪽에서 교대로 가스나 증기압을 작동시켜 움직이는 기관
Condensing Plant|복수기|증기를 냉각하여 액화시키는 장치
Multiple Operater Welding Machine|복식용접기|한 대의 용접기로 여러 사람이 동시에 용접할 수 있는 직류용접기
Restoring Force|복원력|외력에 의해서 평형에서 벗어난 물체가 스스로 원상태로 돌아가고자하는 힘
Restoring or Righting Moment|복원모먼트|배가 외부모먼트에 의해서 초기평형상태가 깨졋을 때 스스로 초기상태로 돌아가고자 하는 모먼트
Stability|복원성|배가 외력에 대항하면서 직립자세를 유지하려는 성능
Double Plate Rudder|복판타|주강이나 단강으로 타 골격을 구성하고 양면에 강판을 용접하여 붙인 타
Composite Flange|복합형플랜지|동합금파이프의 연결에 사용되는 플랜지로 동합금 소켓부분을 납땜으로 관끝에 붙이고 플랜지부분은 강제플랜지와 연결하는 형식임
Bond|본드|비도전 금속부 상호간의 전기적 접촉을 확실히 하기 위해 실시하는 접촉
Bonjean`s Curve|본전곡선|선박의 길이를 등분하는 스테이션 위에 선박의 측면도와 해당횡단면 면적곡선을 포개그린 곡선
Bollard Test|볼라드시험|선박이 안벽에 계류된 상태에서 프로펠러의 추진성능을 계측하기 위해 행하는 시험
Convex Fillet Weld|볼록필렛용접|비드 표면이 볼록하게 형성되는 필렛용접
Ball Bearing|볼베어링|마찰면에 볼을 끼워 돌게함으로써 회전마찰을 줄이도록 만든 베어링
Ball Joint|볼조인트|볼모양구조에 의하여 회전각이 자유롭게 되도록 연결한 준설관의 이음
Ball Launching|볼진수|배의 진수에서 고정대와 활주대 사이에 볼을 깔아 마찰을 줄인 미끄럼 진수방식의 하나
Core Diameter|봉 지름|피복 아크용접봉의 심선의 지름(굵기)
Bar Steel|봉강|단면이 원으로 된 형강재
Pontoon Bridge|부교|상자형 부유물의 상면에 마루를 깔아놓은 보도 또는 다리
Classification Character|부기부호|선급부호 참조
Reverse Frame|부늑골|이중저구조에서 늑판 밑에 붙여지는 형재
Ice-free Port|부동항|겨울에도 얼어붙지 않는 항구
Non-freezing Mixture|부동혼합액|두 가지 이상의 물질을 혼합하여 낮은 온도에서도 얼지 않게 한 액체
Wharfinger|부두관리인|부두의 모든 시설을 관리하는 사람
Wharfage|부두사용료|부두를 사용했을 때 부과하는 요금
Buoyancy|부력|중력장에서 유체속에 물체를 담갔을 때 유체로부터 물체에 작용하는 힘
Buoyancy Curve|부력곡선|배의 길이방향으로 부력분포를 나타낸 곡선
Buoyant Smoke Signal|부력식발연신호|구명정에 비치하는 주간용 신호로서 수면에 떠서 황적색의 연기를 내주는 신호장치
Buoyancy Chamber|부력실|부력을 주는 구획
Buoyancy Tank|부력탱크|부력을 주는 탱크
Square Netter|부망어선|사각형어망을 물에 펼쳐놓고 미끼나 집어등으로 고기를 모은 후 그물의 가장자리를 졸라 고기를 잡는 어선
Partial Joint Penetration : PJP|부분용입|이음부의 전체를 덮지 못한 불충분한 부분적인 용입
Booster|부스터|압력이나 출력을 높여주는 보조장치
Corrosion Cracking|부식균열|응력과 부식이 동시에 작용하여 국부적으로 나타나는 균열현상
Corrosion Margin|부식여유|구조부재의 부식을 고려하여 판 두께를 증가시킨 부분
Corrosion Fatigue|부식피로|금속이 부식환경에서 반복하중을 받으면 피로강도가 현저하게 떨어지는 현상
Floating Dock|부양식 독|양단이 열려있고 큰 범위로 부침되는 갑판 위에 선박을 올리거나 내릴 수 있게 만든 부양체로서 선박수리에 필요한 크렌설비 등도 갗춘 이동식 독
Float Free Launching|부양이탈진수|침몰선에서 따로 예비된 생존정을 자동으로 분리시켜 띄워주는 진수방식
Spilled Oil Collecting Device|부유유수인입장치|오염된 해면의 유수를 흡입하는 장치
Tramper|부정기선|특정화주와의 계약에 따라 부정기적으로 운행하는 화물선
Buoy Mooring|부표계류|배를 부표에 계류하는 것
Buoy Tender|부표설치선|항로표시의 설치와 유지 보수 등에 사용되는 선박
Blister|부풀음|강판의 제련과정이나 압연과정에서 남은 가스층이 얇게 존재하다가 외부가열에 의해 팽창되어 판의 일부가 부풀어 오른 상태
Load|부하|기계장치 등의 구동에 걸리는 일(짐)
Strake below Sheer Strake|부현측후판|현측후판 바로 아래줄에 배치되는 외판으로 현측후판과 일반외판의 중간두께를 취함
Code Calling System|부호호출법|무선전신이나 깃발신호에 의한 호출부호로 호츨하는 방법
Branch Box|분기함|전기회로의 분기접점이 들어있는 상자
Sewage Treatment unit|분뇨처리장치|선내 분뇨나 오수를 배출하기 전에 처리해주는 장치
RPM : Revolution per Minute|분당회전수|회전기계의 분당 회전수
Dry Powder Fire Extinguisher|분말소화기|미세분말을 유체처럼 덮히게 하기 위하여 화학처리된 소화분말이 들은 소화기
Atomizer|분무기|액체를 미세한 입자상으로 만들어주는 장치
Injection|분사|압력을 가하여 액체를 작은 구멍으로 뿜어내는 것
Blast Air|분사공기|공기분사식 디젤기관에 사용되는 고압공기
Slack Coal|분탄|크기가 대략 25mm이하로 된 가루석탄
Chalk Test|분필시험|밀폐가 요구되는 접촉면에 분필가루를 칠하여 상호접촉상태를 조사하는 시험
Square Station|분할스테이션|배의 측면선도(Sheer Plan)상에서 선수 미간을 등간격으로 분할하여 그은 수직선
Lurch|불규칙최대경사각|돌발적인 외력으로 발생된 선체의 최대경사각
Variable Pitch Propeller|불균일피치프로펠러|반지름방향으로 피치가 변화되는 프로펠러
Flare-up Light|불꽃|불꽃를 내는 신호염으로 위급시나 경보용으로 사용됨
Flame Hardening|불꽃경화|가스불꽃의 열에 의하여 금속의 표면을 경화시키는 방법
Flame Cone|불꽃심|가스블꼴 중 토치 입구부근의 청백색부분
Flame Annealing|불꽃어닐링|기름버너나 가스버너를 이용한 풀림열처리
Fire Cracker Welding|불꽃전파용접|피복아크 용접봉을 용접 이음부에 따라 밀착시키고 구리로 된 지그로 한쪽 끝에서 눌러 아크를 발생시켜 용접봉을 따라 자동적으로 용접되게 하는 용접법
Flame Cutting|불꽃절단|연소가스 불꽃의 열을 이용하여 절단하는 것
Flame Machining|불꽃절삭|특수한 모양의 토치를 사용하여 부재를 가열 절삭하는 것
Flame Adjustment|불꽃조정|가스용접시에 용접조건에 맞게 불꽃을 조절하는 것
Flame Gouging|불꽃홈파기|특수한 모양의 토치로 가스불꽃을 이용하여 U형상의 골을 파는 것
Unstable Equilibrium|불안정평형|배의 무게중심이 메타센터보다 위쪽에 있는 불안정한(Top Heavy) 상태
Incombustible Material|불연성재료|규정된 불연성시험에서 타지 않고 규정 이상의 인화성 증기나 가스를 발생하지 않는 재료
Bulwark|불워크|상갑판이나 선루갑판의 통행안전을 위해 설치하는 현측 담장판
Bulwark Net|불워크망|여객갑판의 불워크가 없는 공간에 대신 세우는 망
Bulwark Freeing Port|불워크배수구|갑판배수를 위하여 불워크 하부에 뚫어 주는 배수구
Bulwark Line|불워크선|선체선도에서 불워크 상단내면을 나타내는 선
Bulwark Strake|불워크스트레이크|불워크판의 보강을 위하여 안쪽에 붙이는 종보강부재
Unbalanced Rudder|불평형타|수압을 받는 면이 타 회전축의 후방에 있는 타
Inert Gas Deck Seal|불활성가스 덱실|화물유탱크내의 가스가 불활성가스장치로 역류하는 것을 막아주는 기기
Inert Gas Smothering System|불활성가스 소화장치|불활성가스를 사용하는 소화장치
Inert Gas Generator|불활성가스발생장치|연료를 연소시켜 산소농도가 낮은 연소가스를 생성하여 불활성가스로 사용하게 해주는 장치
Inert Gas Scrubber|불활성가스세척기|화물유탱크에 공급하는 불활성가스에 물을 분무하여 온도를 내려주고 아황산가스 등 불순물을 제거해 주는 장치
Inert Gas System|불활성가스장치|불활성가스를 화물유창에 충만시켜 폭발과 화재를 예방하는 장치
Fixed Oil|불휘발성기름|대부분의 식물유 및 동물유처럼 건성 또는 반건성의 기름
Brine|브라인|증발기에서 냉매를 냉각시키는데 쓰이는 부동액
Brine System|브라인식|브라인을 매체로 하여 냉각하는 간접냉각방식
Bracket Lamp|브래킷 등|탁상등의 일종
Bracket Frame|브래킷늑골|정늑골과 부늑골이 등간격으로 나란히 가며 중간브래킷으로만 연결된 경구조의 늑골
Breast Hook|브레스트 훅|선수재와 인접된 외판을 한데 묶어주는 수평보강재
Breast Line|브레스트라인|선박이 안벽에 계선될 때 선수 선미에서 선박길이의 직각방향으로 묶어주는 계선줄
Brake Shoe|브레이크 슈|제동장치에서 브레이크 드럼을 눌러주는 부품
Breaking Joint|브레이킹 죠인트|서로 교차하지 않고 평행하지 않은 두 축 사이의 동력을 전달하는 방식
Bridge Spot Welding|브리지스폿용접|한쪽 면에 덧판(Backing Metal)을 대고 하는 점용접
Black-out Test|블랙아웃시험|주기관의 운전 중 발전기를 차단하여도 자동으로 비상발전기가 가동되어 주기운행에 지장이 없는지를 확인하는 시험
Blank Flange|블랭크플랜지|구멍이 없는 막통플랜지
Blow Pipe|블로파이프|가스용접이나 가스절단에 사용되는 토치의 별칭
Block|블록|블록공법에 의해서 선체가 지상조립되고 탑재되기에 알맞은 크기로 분할해 놓은 선체의 한 덩어리
Block Shipbuilding|블록 건조방식|선박을 적당한 크기로 토막내어 이를 지상에서 블록형태로 조립 완성하여 독(Building Dock)에서 연결시켜 전체를 완성하는 근대화된 건조방식. 이를 위해서는 점차 커지는 대형화 블록을 들 수 있는 대형기중기(Goliath Crane)가 필요함
Block Outfitting|블록의장|블록의 조립공정에 합류되는 의장공사로서 선행의장(Pre-outfitting) 중의 한 갈래임
BV : Bureau Veritas|비 브이|프랑스 선급협회의 약칭
Binnacle Lamp|비너클 등|비너클 조명등
Vinyl Tile|비닐 타일|비닐재질로 된 타일
Contra Type Stern|비대칭선미|프로펠러의 회전과 반대방향의 유속을 같게 하기 위하여 선미형상을 한쪽만 다르게 하거나 부가물을 붙인 형상
Bidet|비데|국부세척장치가 붙은 변기
Underbead Crack|비드밑 균열|용접금속에서 모재의 열영향부로 확산된 수소의 영향으로 비드의 밑에 나타나는 균열로 표면에서는 볼 수 없음
Bead Welding|비드용접|평판 위에 용접비드를 용착시키는 것
Torsion|비듦|물체가 토크를 받아 각 단면에서 상대적 회전변위를 생기게 하는 상태
Boiling Point|비등점|액체가 끓기 시작하는 온도
General Alarm|비상경보|비상시 퇴선명령 등에 사용하는 경보
Emergency Boat|비상단정|해상조난자 등을 구출할 때 사용하는 소형보트
Emergency Light|비상등|선박안전법에 따라 설치된 조명등
Emergency Generator|비상발전기|비상시 전력공급을 위한 발전기
Emergency Ration|비상식량|구명정 등에 비치하는 식량
Automatic Radio-telegrahp signal Keying Device|비상신호자동키장치|무선전신에 따른 비상신호가 자동으로 발신되는 장치
Scram|비상정지|비상사태에 대비하여 급속히 원자로를 정지시키는 것
Emergency Shut Down Test|비상차단시험|비상시를 대비하여 비상차단장치의 작동을 시험하는 것
Non-consumable Electrode|비용극|융점이 높아 아크열에도 소모되지 않는 전극(텅스텐 등)
Non-ferrous Metal|비철금속|철 이외의 금속이나 합금 등의 총칭
Bitt|비트|계류용 로프를 묶는 한 개로 된 짧은 기둥
Torsion Rigidity|비틂강성|비틀림에 대한 강도를 표시하는 성질
Twisting Test|비틂시험|시험재에 비틂모멘트를 가하여 비틂각을 측정하는 시험
Torsional Vibration|비틂진동|비틂에 의한 복원력으로 발생되는 진동
Hanger Shed|비행기격납고|항공모함에서 비행기를 넣어 보관하는 창고
Non-absorbent Material|비흡습재료|수분을 흡수하지 않는 재료
Bin|빈|갑판이나 선루의 일부를 둘러 막아 만든 곡물류 등의 적재공간
Void Space|빈공간|특정한 사용목적이 없는 공간
Bilge Radius|빌지반지름|선체 중앙단면도 상의 중앙부 빌지 곡률 반경
Bilge Shores|빌지받침목|선대에서 선체의 빌지부 외판을 밭쳐주는 지주
Bilge Keel|빌지부용골|배의 횡동요를 줄이기 위해 빌지부 외판에 직각에 가깝도록 붙이는 띠모양 종통재
Bilge Stringer|빌지부종통재|빌지부 안쪽에 붙여지는 종통보강재
Bilge Separator|빌지분리기|해수오염방지를 위해 배출되는 빌지의 기름을 분리시켜주는 장치
Bilge Block|빌지블록|선대에서 선체의 빌지부를 밭쳐주는 목제 반목
Bilge Well|빌지웰|기관실이나 선창에 빌지가 고이도록 만들어진 사각상자
Bilge Hat|빌지햇|기관실이나 선창에 빌지가 고이도록 만들어진 원형 통
Beam Runner|빔 러너|빔 밑에 종방향으로 붙이는 보강재
Beam Knee|빔니|빔 브래킷과 동의어
Beam Trawler|빔트롤러|어망 입구에 빔이라는 목재를 붙여 주둥이를 벌려주는 형식의 망을 사용하는 트롤어선
Ice Belt|빙대|쇄빙선에서 만재흘수선과 경하흘수선 사이에 붙여주는 보강외판
Freezing Point|빙점|액체나 기체를 냉각할 때 동결이 시작되어 얼음상태로 유지되는 온도
Mud Box|뻘거르개상자|빌지 흡입관 끝에 붙이는 필터가 붙은 상자
Root Cavitation|뿌리캐비테이션|선박의 프로펠러 뿌리부분에 일어나는 캐비테이션
Ladder Wire Rope|사다리와이어|사다리를 올리고 내리는 와이어로프
Ladder Winch|사다리윈치|사다리를 올리고 내리는 와이어로프를 감는 윈치
Purser|사무장|선박내 사무직 총책임자
Hose Test|사수시험|수밀 구조부분에 외부에서 정해진 압력의 물을 분사하여 수밀성을 확인하는 시험
Duty Cycle|사용률|단속부하의 사용상태에서 전체의 시간에 대한 통전시간의 비율을 퍼센트로 표시한 것
Side Girder|사이드거더|이중구조에서 중심 선거더와 현측거더 사이에 붙여지는 종통재
Side Line Winch|사이드라인윈치|준설작업시 선측방향으로 땡겨주는 로프를 감는 윈치
